EVENT
   11    -45.69     66.84     14.42     82.24
  -11    -55.14     70.62     31.88     95.10
1000022    -22.47    221.85    159.58    290.85
   94    238.61   -434.76     77.60    503.93
   13     40.72    -36.76     59.52     80.94
  -13    -17.45      0.98     64.86     67.17
1000022    129.01    -26.40    271.56    317.02
EVENT
   94     60.25     65.21    373.78    386.61
   11    158.35    -76.07    106.39    205.37
  -11    190.16    -75.95     91.12    224.12
1000022    170.03   -115.05     75.67    239.34
   94   -211.13   -142.59    349.18    432.55
   13    -25.49     18.26    -38.01     49.27
  -13   -144.05      6.18    -25.27    146.38
1000022   -142.40     64.88    -23.76    185.64
EVENT
   94     59.88   -157.96    -74.04    184.44
  -11     58.54     50.80    163.80    181.21
   11     35.14     11.65     18.25     41.27
1000022     37.38     64.67    290.48    315.23
   94    161.74   -167.10   -271.88    358.01
  -13    -55.35      0.51    -42.50     69.78
   13   -106.72     25.84   -230.80    255.59
1000022   -123.30     84.33   -239.71    298.64
EVENT
   94   -178.18   -224.36    421.74    511.49
  -11     -2.37    -31.89    267.50    269.40
   11     12.75    -15.03     26.43     32.97
1000022     87.79      3.60    985.08    993.74
   94     23.75    237.72     -7.81    239.62
   13      2.84      4.39     -5.32      7.46
  -13    -20.28     -2.11     50.68     54.63
1000022    101.60   -120.86    355.38    400.79
EVENT
   94    498.29    -10.96  -1043.88   1156.77
  -11      8.73    -17.40    -27.41     33.61
   11    -40.58     68.97   -125.08    148.48
1000022    -41.72     21.83   -133.61    171.70
   94   -104.17    115.43     84.08    180.87
   13     -1.30    -29.95     48.06     56.65
  -13    -49.87   -149.60     97.67    185.49
1000022   -281.49   -400.15    403.66    641.65
EVENT
   94   -111.59    166.26   -396.41    444.95
   13     27.39    -59.52    -54.71     85.36
  -13     76.58    -90.53   -177.51    213.47
1000022     42.67   -145.89   -363.98    406.20
   94     47.16     64.42   -391.54    437.04
  -11      8.28    -19.51     25.96     33.52
   11     13.84     -2.93    -13.62     19.64
1000022   -128.29    -24.41     47.59    169.50
EVENT
   94    -37.10    -62.98   -270.23    281.79
  -13    -47.84      3.54     13.94     49.95
   13    -18.52     28.93      5.62     34.80
1000022    -78.91     -2.36    199.29    235.28
   94   -287.52    -58.17    -87.32    306.86
  -11     14.30     14.33     16.56     26.15
   11     31.56     23.20      6.28     39.67
1000022    168.03    -54.44    -99.54    224.75
EVENT
   94    -98.20   -102.38   -137.82    203.25
  -13     87.07    -63.70    -28.92    111.69
   13     92.77   -149.71    -49.98    183.08
1000022    330.16   -401.04     -8.40    528.50
   94   -330.46    354.13     21.14    485.16
  -11    -28.52     68.79     77.70    107.62
   11    -54.05     41.97     87.44    111.03
1000022     -9.60     85.06    275.17    304.07
EVENT
   94   -448.51   -234.42   -681.87    849.34
   13     42.71    -41.71    -18.52     62.51
  -13    -16.79    -16.40    -52.06     57.11
1000022     39.17    -49.76    -16.67    117.04
   94    148.02     49.61    584.51    609.15
  -11    -19.59    120.47     60.11    136.05
   11      0.80    -12.40     10.26     16.12
1000022    -20.75    207.82     88.17    246.59
EVENT
   94     -9.33    112.10  -1642.39   1646.37
   11    -51.22    -45.80   -108.94    128.80
  -11    -52.05     -3.26    -57.29     77.47
1000022     -3.61    -61.06   -154.06    192.06
   94     88.20    226.34   -537.75    602.18
   13     19.50    -25.69    -33.62     46.59
  -13    -13.86    -11.46   -110.73    112.18
1000022    -89.29   -173.28   -275.07    350.82
EVENT
   94     76.36   -320.20    229.69    403.60
  -11    -12.95     -7.62     36.24     39.23
   11     14.31     93.07    168.20    192.77
1000022     62.77     66.19    193.52    234.91
   94    -54.42   -153.02    240.87    301.89
  -13    -42.36    103.08     93.45    145.44
   13    -83.81    124.99    176.31    231.80
1000022    -48.88    169.23    304.43    364.85
EVENT
   94    161.67    243.12  -1326.67   1361.49
   13    -24.00     -0.77    -26.17     35.52
  -13    -21.50     20.00   -231.67    233.52
1000022   -286.16    121.93   -969.24   1022.55
   94   -319.90    163.64  -1947.72   1980.97
  -11     50.72      3.50    -80.53     95.24
   11    -14.14     -2.48   -157.15    157.80
1000022     99.70      9.74   -368.65    394.15
EVENT
   94    312.13    676.76   -126.58    758.47
  -13     49.40      5.92      4.82     49.98
   13      0.83     16.35    -26.97     31.55
1000022     35.22    -43.37     44.59    120.50
   94   -140.72    -81.92    216.93    271.38
  -11     11.30      0.65    -37.00     38.69
   11   -106.46      4.93   -137.65    174.08
1000022    -71.37     14.92   -111.60    164.87
EVENT
   94    -35.12    185.12    -18.79    190.86
  -13    159.79    162.81   -305.56    381.33
   13      1.98     11.16      1.21     11.40
1000022    398.22    320.50   -626.13    814.09
   94    209.53   -291.20    238.10    447.23
   11    -28.69    -20.81     28.35     45.39
  -11    -64.44    -51.41    226.06    240.62
1000022    -35.01    -12.46    275.50    294.43
EVENT
   94     67.24    233.36   -412.80    479.06
   11    129.53     18.65    -92.53    160.27
  -11     29.22    -10.40     10.17     32.64
1000022    396.20     76.68   -172.91    449.63
   94    -70.99    147.94   -720.61    741.33
  -13   -157.51   -123.09   -729.46    756.35
   13    -10.80      0.98   -127.90    128.36
1000022   -322.79   -227.19  -1236.05   1301.17
EVENT
   94    -61.79    114.24   -193.99    241.06
  -13    -38.32    -39.13     27.66     61.35
   13    -14.84    -19.39    -19.63     31.33
1000022   -420.11   -173.80     38.64    466.48
   94    118.29    123.75   -205.58    286.25
  -11     30.78    -15.01      2.83     34.36
   11      7.08      5.29     43.32     44.21
1000022    334.81     54.66    247.84    431.18
EVENT
   94     72.64   -158.11     11.64    199.77
  -13     40.90     69.82   -125.02    148.92
   13     -9.90     37.30     -4.78     38.89
1000022     32.38    146.68   -249.99    307.36
   94    -83.83   -398.56    433.32    599.02
  -11      0.89     62.75     73.47     96.62
   11      6.72    -22.54     11.59     26.22
1000022    -14.96     86.99    164.25    210.19
EVENT
   94    -85.81   -147.76    550.32    577.34
  -13     -1.50     65.65     81.93    105.00
   13     49.81     17.57     25.18     58.51
1000022     81.72    188.29    225.62    320.08
   94    198.03     68.41    493.15    537.90
  -11      1.63     13.86     17.02     22.01
   11   -108.89    -24.30     37.90    117.83
1000022    -79.28    -67.32     57.68    153.48
EVENT
   94    154.41     82.60    -71.73    201.50
   13    -32.24    -91.77    -39.55    105.00
  -13     36.90    -65.58    -35.90     83.37
1000022    -28.14   -310.81   -226.81    397.80
   94   -139.73    379.16   -305.49    508.91
   11     -9.49     16.26     -0.02     18.83
  -11     57.69    -60.01      9.21     83.75
1000022     32.38    -27.95    -20.04    107.90
EVENT
   94   -164.17   -237.79   -709.42    766.48
  -11     11.60    -12.27     -4.73     17.54
   11     82.01     41.44    -81.85    123.05
1000022     73.46    111.94   -246.03    296.42
   94    162.13    -50.66    -23.24    171.61
   13    -40.19      8.34    -99.52    107.66
  -13    -18.96     88.70   -192.21    212.54
1000022    -26.70     68.62   -423.38    440.55
EVENT
   94     18.92   -201.77   -214.04    301.67
